YEAR,MONTH,TYPE,Crime_Count
2012,1,Break and Enter Commercial,230
2012,2,Break and Enter Commercial,197
2012,3,Break and Enter Commercial,196
2012,4,Break and Enter Commercial,194
2012,5,Break and Enter Commercial,195
2012,6,Break and Enter Commercial,205
2012,7,Break and Enter Commercial,208
2012,8,Break and Enter Commercial,219
2012,9,Break and Enter Commercial,203
2012,10,Break and Enter Commercial,195
2012,11,Break and Enter Commercial,200
2012,12,Break and Enter Commercial,199
2013,1,Break and Enter Commercial,220
2013,2,Break and Enter Commercial,207
2013,3,Break and Enter Commercial,212
2013,4,Break and Enter Commercial,200
2013,5,Break and Enter Commercial,192
2013,6,Break and Enter Commercial,209
2013,7,Break and Enter Commercial,216
2013,8,Break and Enter Commercial,212
2013,9,Break and Enter Commercial,211
2013,10,Break and Enter Commercial,201
2013,11,Break and Enter Commercial,202
2013,12,Break and Enter Commercial,211
2012,1,Break and Enter Residential/Other,327
2012,2,Break and Enter Residential/Other,262
2012,3,Break and Enter Residential/Other,241
2012,4,Break and Enter Residential/Other,216
2012,5,Break and Enter Residential/Other,218
2012,6,Break and Enter Residential/Other,234
2012,7,Break and Enter Residential/Other,253
2012,8,Break and Enter Residential/Other,266
2012,9,Break and Enter Residential/Other,261
2012,10,Break and Enter Residential/Other,275
2012,11,Break and Enter Residential/Other,260
2012,12,Break and Enter Residential/Other,269
2013,1,Break and Enter Residential/Other,244
2013,2,Break and Enter Residential/Other,220
2013,3,Break and Enter Residential/Other,234
2013,4,Break and Enter Residential/Other,233
2013,5,Break and Enter Residential/Other,255
2013,6,Break and Enter Residential/Other,238
2013,7,Break and Enter Residential/Other,261
2013,8,Break and Enter Residential/Other,250
2013,9,Break and Enter Residential/Other,272
2013,10,Break and Enter Residential/Other,252
2013,11,Break and Enter Residential/Other,281
2013,12,Break and Enter Residential/Other,301
2012,1,Mischief,478
2012,2,Mischief,431
2012,3,Mischief,385
2012,4,Mischief,387
2012,5,Mischief,387
2012,6,Mischief,379
2012,7,Mischief,403
2012,8,Mischief,386
2012,9,Mischief,373
2012,10,Mischief,377
2012,11,Mischief,384
2012,12,Mischief,377
2013,1,Mischief,380
2013,2,Mischief,391
